link,Address,Latitude,Longitude,Price,#Bed,#Bath,Square Foot,Year Built,date1,price1,date2,price2,date3,price3,date4,price4,date5,price5,date6,price6,date7,price7,absolute,link1,ZestYear 2015,ZestPrice 2015,ZestYear 2020,ZestPrice 2020
https://www.zillow.com/homedetails/1521-9th-Ave-W-Seattle-WA-98119/48764175_zpid/,1521 9th Ave W Seattle WA 98119,47.6330377,-122.3695208,3323000,6,5,3870,1931,9/4/2020,3323000,8/16/2020,3500000,7/29/2015,2362500,6/8/2015,2500000,4/27/2015,2500000,,,,,11,https://www.zillow.com/homedetails/1521-9th-Ave-W-Seattle-WA-98119/48764175_zpid/,2015,2500,2020,3300
https://www.zillow.com/homedetails/1615-39th-Ave-E-Seattle-WA-98112/48956643_zpid/,1615 39th Ave E Seattle WA 98112,47.6339071,-122.2831058,3270000,4,4,4000,1978,9/4/2020,3270000,11/9/2017,2850000,9/8/2017,3196000,6/22/2017,3196000,5/20/2008,1998000,12/20/2007,1998000,5/25/2004,1068000,12,https://www.zillow.com/homedetails/1615-39th-Ave-E-Seattle-WA-98112/48956643_zpid/,2015,1800,2020,3100
https://www.zillow.com/homedetails/1518-Parkside-Dr-E-Seattle-WA-98112/48706586_zpid/,1518 Parkside Dr E Seattle WA 98112,47.6325167,-122.2902421,3250000,4,4,3500,1927,6/15/2020,3250000,12/30/2014,1715000,11/14/2014,1799000,10/1/2014,1799000,,,,,,,13,https://www.zillow.com/homedetails/1518-Parkside-Dr-E-Seattle-WA-98112/48706586_zpid/,2015,1800,2020,2400
https://www.zillow.com/homedetails/1649-Shenandoah-Dr-E-Seattle-WA-98112/48706490_zpid/,1649 Shenandoah Dr E Seattle WA 98112,47.6350364,-122.2895731,3200000,4,5,4728,1928,7/17/2020,3200000,4/4/2020,3400000,3/20/2020,3450000,,,,,,,,,14,https://www.zillow.com/homedetails/1649-Shenandoah-Dr-E-Seattle-WA-98112/48706490_zpid/,2015,2000,2020,2900
https://www.zillow.com/homedetails/164-Prospect-St-Seattle-WA-98109/48963553_zpid/,164 Prospect St Seattle WA 98109,47.6292144,-122.3533169,3200000,5,6,3300,2014,7/30/2020,3200000,3/22/2013,958000,2/4/2013,1025000,1/14/2013,1049000,,,,,,,15,https://www.zillow.com/homedetails/164-Prospect-St-Seattle-WA-98109/48963553_zpid/,2015,1300,2020,2300
https://www.zillow.com/homedetails/1967-Sunset-Ave-SW-Seattle-WA-98116/49125045_zpid/,1967 Sunset Ave SW Seattle WA 98116,47.5854087,-122.3951038,3375000,3,3,4970,2008,9/10/2020,3375000,6/4/2020,3500000,4/28/2006,1480000,6/20/2001,850000,9/15/2000,790000,,,,,16,https://www.zillow.com/homedetails/1967-Sunset-Ave-SW-Seattle-WA-98116/49125045_zpid/,2015,2000,2020,2900
https://www.zillow.com/homedetails/720-14th-Ave-E-Seattle-WA-98112/48725897_zpid/,720 14th Ave E Seattle WA 98112,47.6258806,-122.3142387,3250000,6,5,8090,1905,8/9/2020,3250000,1/14/2010,1925000,11/16/2009,1925000,10/24/2009,1925000,9/25/2009,1975000,10/23/2008,2495000,7/31/2008,2495000,17,https://www.zillow.com/homedetails/720-14th-Ave-E-Seattle-WA-98112/48725897_zpid/,2015,2600,2020,3400
https://www.zillow.com/homedetails/1649-Shenandoah-Dr-E-Seattle-WA-98112/48706490_zpid/,1649 Shenandoah Dr E Seattle WA 98112,47.6350364,-122.2895731,3200000,4,5,4728,1928,7/17/2020,3200000,4/4/2020,3400000,3/20/2020,3450000,,,,,,,,,18,https://www.zillow.com/homedetails/1649-Shenandoah-Dr-E-Seattle-WA-98112/48706490_zpid/,2015,2100,2020,2900
https://www.zillow.com/homedetails/164-Prospect-St-Seattle-WA-98109/48963553_zpid/,164 Prospect St Seattle WA 98109,47.6292144,-122.3533169,3200000,5,6,3300,2014,7/30/2020,3200000,3/22/2013,958000,2/4/2013,1025000,1/14/2013,1049000,,,,,,,19,https://www.zillow.com/homedetails/164-Prospect-St-Seattle-WA-98109/48963553_zpid/,2015,1400,2020,2300
https://www.zillow.com/homedetails/4827-Beach-Dr-SW-Seattle-WA-98116/112896981_zpid/,4827 Beach Dr SW Seattle WA 98116,47.5588453,-122.4026415,3198000,4,5,2760,2014,7/21/2020,3198000,4/26/2012,799950,,,,,,,,,,,20,https://www.zillow.com/homedetails/4827-Beach-Dr-SW-Seattle-WA-98116/112896981_zpid/,2015,1300,2020,3000
